film,ceremony,actor_in_a_leading_role,actor_in_a_supporting_role,actress_in_a_leading_role,actress_in_a_supporting_role,animated_feature_film,animated_short_film,best_picture,cinematography,costume_design,directing,documentary_feature_film,documentary_short_film,film_editing,international_feature_film,live_action_short_film,makeup_and_hairstyling,music_original_score,music_original_song,production_design,sound,visual_effects,writing_adapted_screenplay,writing_original_screenplay,total_oscars_won,won,title_type,imdb_rating,runtime_mins,year,num_votes,directors,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,short,sport,talk-show,thriller,war,western,num_nominations,imdb_popularity,num_directors,nominated_acting,nominated_animation,nominated_cinematography,nominated_costume_design,nominated_directing,nominated_documentary,nominated_editing,nominated_international_feature,nominated_makeup_and_hairstyling,nominated_music,nominated_other,nominated_picture,nominated_production_design,nominated_short_film,nominated_sound,nominated_visual_effects,nominated_writing
Coming 2 America,94th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,5.3,110.0,2021,78392,Craig Brewer,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,415477.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coming Home,51st,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,Movie,7.3,127.0,1978,15434,Hal Ashby,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,112668.2,1,4,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Coming To America,61th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.1,117.0,1988,231724,John Landis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1645240.4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Commandos Strike At Dawn,16th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.5,98.0,1942,1035,John Farrow,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6727.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Common Threads: Stories From The Quilt,62nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,8.1,79.0,1989,1174,"Rob Epstein, Jeffrey Friedman",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9509.4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Complaints Of A Dutiful Daughter,67th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.2,44.0,1994,128,Deborah Hoffmann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,921.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Comrade X,13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.6,104.0,1940,1889,King Vidor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12467.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Con Air,70th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.9,115.0,1997,329342,Simon West,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2272459.8000000003,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Conclave,97th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,Movie,7.4,120.0,2024,142554,Edward Berger,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1054899.6,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0,0,0,1
Coney Island,16th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.3,96.0,1943,577,Walter Lang,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3635.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Confidence,53rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.5,105.0,1980,1122,István Szabó,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8415.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Conquer By The Clock,15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,5.4,10.0,1942,90,Slavko Vorkapich,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,486.00000000000006,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Conquest,10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.5,113.0,1937,1791,"Clarence Brown, Gustav Machatý",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,11641.5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Conquest Of Light,48th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,5.8,11.0,1975,27,Louis Marcus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,156.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Contact,70th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,6.1,30.0,1993,810,Jonathan Darby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4941.0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
Contact,70th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.5,150.0,1997,302595,Robert Zemeckis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,4941.0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
Cool Hand Luke,40th,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,8.0,127.0,1967,194029,Stuart Rosenberg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1552232.0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Copy Shop,74th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.4,12.0,2001,1837,Virgil Widrich,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13593.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Coquette,2nd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,5.5,76.0,1929,2380,Sam Taylor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13090.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coraline,82nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.8,100.0,2009,282582,Henry Selick,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2204139.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corpus Christi,92nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.7,115.0,2019,22942,Jan Komasa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176653.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Corvette K-225,16th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.5,98.0,1943,611,"Richard Rosson, Howard Hawks",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3971.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmic Voyage,69th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.5,36.0,1996,802,Bayley Silleck,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6015.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Country,57th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.6,105.0,1984,2321,Richard Pearce,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15318.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country Strong,83rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.3,117.0,2010,19228,Shana Feste,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,121136.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Couples And Robbers,54th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,5.9,29.0,1981,55,Clare Peploe,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,324.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Course Completed,60th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,5.8,94.0,1987,308,José Luis Garci,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1786.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cousin, Cousine",49th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.7,95.0,1975,1868,Jean-Charles Tacchella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12515.6,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cover Girl,17th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,6.7,107.0,1944,6198,Charles Vidor,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,41526.6,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Cow Dog,29th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.6,22.0,1956,22,Larry Lansburgh,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,167.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cowboy,39th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.7,92.0,1958,3640,Delmer Daves,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24388.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Cowboy,39th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,,17.0,1966,0,Michael Ahnemann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,24388.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Crac,54th,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Short,7.4,15.0,1980,1679,Frédéric Back,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12424.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crack Usa: County Under Siege,62nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,6.6,42.0,1989,71,"Vince DiPersio, Bill Guttentag",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,468.6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cradle Of Genius,34th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,6.3,25.0,1961,21,Paul Rotha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,132.29999999999998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crash,78th,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1,Movie,7.7,112.0,2004,454992,Paul Haggis,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3503438.4,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
Crash Dive,16th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,Movie,6.3,106.0,1943,1858,Archie Mayo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,11705.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crashing The Water Barrier,29th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Short,5.9,9.0,1956,187,Konstantin Kalser,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1103.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crazy Heart,82nd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,7.2,112.0,2009,96639,Scott Cooper,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,695800.8,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Crazy Mixed Up Pup,27th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.2,6.0,1954,359,Tex Avery,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2584.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crazylegs,26th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,5.5,87.0,1953,227,Francis D. Lyon,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1248.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Creature Comforts,63rd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Short,7.7,5.0,1989,7091,Nick Park,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,54600.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creed,88th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.6,133.0,2015,320308,Ryan Coogler,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2434340.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crimes And Misdemeanors,62nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.8,104.0,1989,61929,Woody Allen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,483046.2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Crimes Of The Heart,59th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.3,105.0,1986,4655,Bruce Beresford,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29326.5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crimson Tide,68th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.4,116.0,1995,129841,Tony Scott,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,960823.4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Crip Camp,93rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.7,106.0,2020,8483,"James Lebrecht, Nicole Newnham",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65319.1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crisis Hotline: Veterans Press 1,87th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Short,7.5,40.0,2013,686,Ellen Goosenberg Kent,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5145.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cromwell,43rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,7.0,139.0,1970,7473,Ken Hughes,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,52311.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cross Creek,56th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,6.9,127.0,1983,2222,Martin Ritt,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,15331.8,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Crossfire,20th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.3,86.0,1947,10209,Edward Dmytryk,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,74525.7,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"Crouching Tiger, Hidden Dragon",73rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1,Movie,7.9,120.0,2000,287582,Ang Lee,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,2271897.8000000003,1,0,0,1,1,1,0,1,1,0,2,1,1,1,0,0,0,0
Cruella,94th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Movie,7.3,134.0,2021,280301,Craig Gillespie,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2046197.3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cruise Control,65th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,4.2,20.0,1992,64,Matt Palmieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,268.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cry Freedom,60th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.4,157.0,1987,14914,Richard Attenborough,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110363.6,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Culture,71st,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,6.5,29.0,1997,77,"Josh Gordon, Will Speck",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,500.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Curfew,85th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Short,7.8,19.0,2012,7193,Shawn Christensen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,56105.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Curse Of The Golden Flower,79th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Movie,7.0,114.0,2006,46682,Yimou Zhang,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,326774.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtain Call,73rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Short,7.8,38.0,2000,48,Charles Braverman,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,374.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
